compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prodRate_ec	cFlux_l	cFlux_h	Pburden	CCMratio
(S)-lactate	native	organic acid	89.07	NaN	NaN	NaN	0.487139936629347	1.999998	56.6164004638093	1.000001	32.641170810502	0.0163058781999156	0.783291615649844
(S)-malate	native	organic acid	132.07156	0.488744722175434	1.49999849999994	882.300000000001	0.483767870863028	1.4999985	52.0080316931737	1.000001	60.6267640989084	0.0131522031694545	0.452214383365959
2-oxoglutarate	native	organic acid	144.08226	0.488744722175434	1.15822246523505	492.069230769231	0.483767870863023	1.15822246523522	15.7616177525233	1.000001	18.509902710677	0.0120156822947043	0.783381484301004
acetate	native	organic acid	60.052	0.488744722175434	2.49990703348986	1000	0.483767870863024	2.49990703349013	44.7269115796128	1.000001	22.3634557898064	0.0115719699357633	0.631066854280409
citrate	native	organic acid	189.0997	0.488744722175434	0.999998999999884	427.131818181818	0.483767870863024	1	20.0469589638695	0.999999999999	32.3361438286575	0.00689371004672966	0.957488069197945
fumarate	native	organic acid	116.0722	0.488744722175434	1.49999850000017	820.089285714286	0.483767870863023	1.4999985	51.6372548444682	1.000001	60.1959364543181	0.0131736006072034	0.453104131940094
glycolate	native	organic acid	76.05136	NaN	NaN	NaN	0.483767870863024	2.48853204541145	16.5253201601348	1.000001	8.26266008006739	0.0286605884113628	0.628635743197221
hexanoate	native	organic acid	115.15034	0.488744722175434	0.332872291709576	63.3336448598131	0.483767870863024	0.0929802988895232	0.0928603954817274	0.998411248147501	1.49785766637135	0.103616367932304	0.061675169302794
pyruvate	native	organic acid	87.05412	0.488744722175434	1.99999800000085	1000	0.484082135434911	1.999998	114.406919721935	1.000001	57.2034598609676	0.00293012713656478	0.965460463107003
resveratrol	heterologous	stilbenoids	228.25	NaN	NaN	NaN	0.48376787086302	0.0446036749278255	0.0244399448440711	0.547935129642865	0.549592882893247	0.103616367932304	0.722785385499246
astaxanthin	heterologous	terpene	596.841	NaN	NaN	NaN	0.48376787086302	0.00113287806543234	0.000400671955356171	0.353675798755366	0.355342292738082	0.103616367932304	0.767070789817112
